Origin,Destination,Travel_Time
ANGO,POE_Kiyonga,78858
ANGO,POE_Kyesero,86380
ANGO,POE_Lushoze,76354
ANGO,POE_Muhungu,77652
ANGO,POE_Nabiapai,56177
ANGO,POE_Onder,67080
ANGO,POE_Parombo,81418
ANGO,POE_Vura,70821
ANGUMU,POE_Adumi,17755
ANGUMU,POE_Bango,30091
ANGUMU,POE_Bugarama,46177
ANGUMU,POE_Buhumba,34986
ANGUMU,POE_Bujerere,36399
ANGUMU,POE_Bunagana,34237
ANGUMU,POE_Busengo,42189
ANGUMU,POE_Goli,6781
ANGUMU,POE_Goma,38151
ANGUMU,POE_Ishasha,35967
ANGUMU,POE_Kasindi,24744
ANGUMU,POE_Kijoro,18409
ANGUMU,POE_Kiyonga,16710
ANGUMU,POE_Kyesero,42830
ANGUMU,POE_Lushoze,44498
ANGUMU,POE_Muhungu,45796
ANGUMU,POE_Nabiapai,43926
ANGUMU,POE_Onder,11538
ANGUMU,POE_Parombo,19269
ANGUMU,POE_Vura,14988
ANKORO,POE_Adumi,103917
ANKORO,POE_Bango,105817
ANKORO,POE_Bugarama,52961
ANKORO,POE_Buhumba,63053
ANKORO,POE_Bujerere,94399
ANKORO,POE_Bunagana,66038
ANKORO,POE_Busengo,74618
ANKORO,POE_Goli,92943
ANKORO,POE_Goma,63477
ANKORO,POE_Ishasha,72080
ANKORO,POE_Kasindi,80483
ANKORO,POE_Kijoro,104571
ANKORO,POE_Kiyonga,102872
ANKORO,POE_Kyesero,78943
ANKORO,POE_Lushoze,54304
ANKORO,POE_Muhungu,55602
ANKORO,POE_Nabiapai,119652
ANKORO,POE_Onder,96167
ANKORO,POE_Parombo,105432
ANKORO,POE_Vura,101151
ARIWARA,POE_Adumi,8314
ARIWARA,POE_Bango,13331
ARIWARA,POE_Bugarama,53811
ARIWARA,POE_Buhumba,42620
ARIWARA,POE_Bujerere,44033
ARIWARA,POE_Bunagana,41870
ARIWARA,POE_Busengo,49822
ARIWARA,POE_Goli,13413
ARIWARA,POE_Goma,45785
ARIWARA,POE_Ishasha,43601
ARIWARA,POE_Kasindi,32378
ARIWARA,POE_Kijoro,8968
ARIWARA,POE_Kiyonga,21539
ARIWARA,POE_Kyesero,50464
ARIWARA,POE_Lushoze,52132
ARIWARA,POE_Muhungu,53430
ARIWARA,POE_Nabiapai,33219
ARIWARA,POE_Onder,9506
ARIWARA,POE_Parombo,24099
ARIWARA,POE_Vura,5205
ARU,POE_Adumi,4877
ARU,POE_Bango,17529
ARU,POE_Bugarama,49151
ARU,POE_Buhumba,37960
ARU,POE_Bujerere,39373
ARU,POE_Bunagana,37211
ARU,POE_Busengo,45163
ARU,POE_Goli,9976
ARU,POE_Goma,41125
ARU,POE_Ishasha,38941
ARU,POE_Kasindi,27718
ARU,POE_Kijoro,5531
ARU,POE_Kiyonga,18103
ARU,POE_Kyesero,45804
ARU,POE_Lushoze,47472
ARU,POE_Muhungu,48770
ARU,POE_Nabiapai,37391
ARU,POE_Onder,4846
ARU,POE_Parombo,20662
ARU,POE_Vura,1769
AUNGBA,POE_Adumi,9793
AUNGBA,POE_Bango,19591
AUNGBA,POE_Bugarama,46390
AUNGBA,POE_Buhumba,35198
AUNGBA,POE_Bujerere,36611
AUNGBA,POE_Bunagana,34449
AUNGBA,POE_Busengo,42401
AUNGBA,POE_Goli,9530
AUNGBA,POE_Goma,38363
AUNGBA,POE_Ishasha,36179
AUNGBA,POE_Kasindi,24956
AUNGBA,POE_Kijoro,10447
AUNGBA,POE_Kiyonga,19458
AUNGBA,POE_Kyesero,43042
AUNGBA,POE_Lushoze,44710
AUNGBA,POE_Muhungu,46008
AUNGBA,POE_Nabiapai,34187
AUNGBA,POE_Onder,3735
AUNGBA,POE_Parombo,22018
AUNGBA,POE_Vura,6685
BAFWAGBOGBO,POE_Adumi,48777
BAFWAGBOGBO,POE_Bango,44096
BAFWAGBOGBO,POE_Bugarama,54194
BAFWAGBOGBO,POE_Buhumba,43003
BAFWAGBOGBO,POE_Bujerere,47628
BAFWAGBOGBO,POE_Bunagana,42254
BAFWAGBOGBO,POE_Busengo,50206
BAFWAGBOGBO,POE_Goli,37804
BAFWAGBOGBO,POE_Goma,46168
BAFWAGBOGBO,POE_Ishasha,43984
BAFWAGBOGBO,POE_Kasindi,33158
BAFWAGBOGBO,POE_Kijoro,49431
BAFWAGBOGBO,POE_Kiyonga,47732
BAFWAGBOGBO,POE_Kyesero,50847
BAFWAGBOGBO,POE_Lushoze,52515
BAFWAGBOGBO,POE_Muhungu,53813
BAFWAGBOGBO,POE_Nabiapai,46248
BAFWAGBOGBO,POE_Onder,41027
BAFWAGBOGBO,POE_Parombo,50292
BAFWAGBOGBO,POE_Vura,46011
BAFWASENDE,POE_Adumi,41439
BAFWASENDE,POE_Bango,37161
BAFWASENDE,POE_Bugarama,39795
BAFWASENDE,POE_Buhumba,35665
BAFWASENDE,POE_Bujerere,40290
BAFWASENDE,POE_Bunagana,34916
BAFWASENDE,POE_Busengo,42868
BAFWASENDE,POE_Goli,30466
BAFWASENDE,POE_Goma,38830
BAFWASENDE,POE_Ishasha,36646
BAFWASENDE,POE_Kasindi,25820
BAFWASENDE,POE_Kijoro,42093
BAFWASENDE,POE_Kiyonga,40394
BAFWASENDE,POE_Kyesero,43509
BAFWASENDE,POE_Lushoze,38116
BAFWASENDE,POE_Muhungu,39414
BAFWASENDE,POE_Nabiapai,39313
BAFWASENDE,POE_Onder,33689
BAFWASENDE,POE_Parombo,42954
BAFWASENDE,POE_Vura,38673
BAGATA,POE_Adumi,145383
BAGATA,POE_Bango,144872
BAGATA,POE_Bugarama,98056
BAGATA,POE_Buhumba,104519
BAGATA,POE_Bujerere,135865
BAGATA,POE_Bunagana,107504
BAGATA,POE_Busengo,116084
BAGATA,POE_Goli,134409
BAGATA,POE_Goma,104943
BAGATA,POE_Ishasha,113546
BAGATA,POE_Kasindi,121949
BAGATA,POE_Kijoro,146037
BAGATA,POE_Kiyonga,144338
BAGATA,POE_Kyesero,120409
BAGATA,POE_Lushoze,96377
BAGATA,POE_Muhungu,97675
BAGATA,POE_Nabiapai,147024
BAGATA,POE_Onder,137633
BAGATA,POE_Parombo,146898
BAGATA,POE_Vura,142617
BAGIRA-KASHA,POE_Adumi,49971
BAGIRA-KASHA,POE_Bango,51871
BAGIRA-KASHA,POE_Bugarama,2085
BAGIRA-KASHA,POE_Buhumba,9106
BAGIRA-KASHA,POE_Bujerere,40453
BAGIRA-KASHA,POE_Bunagana,12092
BAGIRA-KASHA,POE_Busengo,20672
BAGIRA-KASHA,POE_Goli,38997
BAGIRA-KASHA,POE_Goma,9531
BAGIRA-KASHA,POE_Ishasha,18133
BAGIRA-KASHA,POE_Kasindi,26537
BAGIRA-KASHA,POE_Kijoro,50625
BAGIRA-KASHA,POE_Kiyonga,48925
BAGIRA-KASHA,POE_Kyesero,24996
BAGIRA-KASHA,POE_Lushoze,406
BAGIRA-KASHA,POE_Muhungu,1704
BAGIRA-KASHA,POE_Nabiapai,65706
BAGIRA-KASHA,POE_Onder,42221
BAGIRA-KASHA,POE_Parombo,51485
BAGIRA-KASHA,POE_Vura,47204
BAMBO,POE_Adumi,40470
BAMBO,POE_Bango,42370
BAMBO,POE_Bugarama,16396
BAMBO,POE_Buhumba,5204
BAMBO,POE_Bujerere,31505
BAMBO,POE_Bunagana,4455
BAMBO,POE_Busengo,12407
BAMBO,POE_Goli,29496
BAMBO,POE_Goma,8369
BAMBO,POE_Ishasha,9395
BAMBO,POE_Kasindi,17036
BAMBO,POE_Kijoro,41124
BAMBO,POE_Kiyonga,39425
BAMBO,POE_Kyesero,16258
BAMBO,POE_Lushoze,14717
BAMBO,POE_Muhungu,16014
BAMBO,POE_Nabiapai,56205
BAMBO,POE_Onder,32720
BAMBO,POE_Parombo,41985
BAMBO,POE_Vura,37704
BAMBU-MINES,POE_Adumi,17866
BAMBU-MINES,POE_Bango,18103
BAMBU-MINES,POE_Bugarama,35853
BAMBU-MINES,POE_Buhumba,24661
BAMBU-MINES,POE_Bujerere,26074
BAMBU-MINES,POE_Bunagana,23912
BAMBU-MINES,POE_Busengo,31864
BAMBU-MINES,POE_Goli,6892
BAMBU-MINES,POE_Goma,27826
BAMBU-MINES,POE_Ishasha,25642
BAMBU-MINES,POE_Kasindi,14419
BAMBU-MINES,POE_Kijoro,18520
BAMBU-MINES,POE_Kiyonga,16821
BAMBU-MINES,POE_Kyesero,32505
BAMBU-MINES,POE_Lushoze,34173
BAMBU-MINES,POE_Muhungu,35471
BAMBU-MINES,POE_Nabiapai,31938
BAMBU-MINES,POE_Onder,10116
BAMBU-MINES,POE_Parombo,19381
BAMBU-MINES,POE_Vura,15100
BANALIA,POE_Adumi,66666
BANALIA,POE_Bango,58517
BANALIA,POE_Bugarama,47166
BANALIA,POE_Buhumba,50969
BANALIA,POE_Bujerere,65516
BANALIA,POE_Bunagana,53955
BANALIA,POE_Busengo,62535
BANALIA,POE_Goli,55692
BANALIA,POE_Goma,51394
BANALIA,POE_Ishasha,59996
BANALIA,POE_Kasindi,51047
BANALIA,POE_Kijoro,67320
BANALIA,POE_Kiyonga,65621
BANALIA,POE_Kyesero,66859
BANALIA,POE_Lushoze,45486
BANALIA,POE_Muhungu,46784
BANALIA,POE_Nabiapai,59915
BANALIA,POE_Onder,58916
BANALIA,POE_Parombo,68181
BANALIA,POE_Vura,63900
BANDALUNGWA,POE_Adumi,153892
BANDALUNGWA,POE_Bango,153381
BANDALUNGWA,POE_Bugarama,106565
BANDALUNGWA,POE_Buhumba,113028
BANDALUNGWA,POE_Bujerere,144374
BANDALUNGWA,POE_Bunagana,116013
BANDALUNGWA,POE_Busengo,124593
BANDALUNGWA,POE_Goli,142918
BANDALUNGWA,POE_Goma,113452
BANDALUNGWA,POE_Ishasha,122054
BANDALUNGWA,POE_Kasindi,130458
BANDALUNGWA,POE_Kijoro,154546
BANDALUNGWA,POE_Kiyonga,152846
BANDALUNGWA,POE_Kyesero,128918
BANDALUNGWA,POE_Lushoze,104885
BANDALUNGWA,POE_Muhungu,106183
BANDALUNGWA,POE_Nabiapai,155533
BANDALUNGWA,POE_Onder,146142
BANDALUNGWA,POE_Parombo,155406
BANDALUNGWA,POE_Vura,151125
BANDJAU,POE_Adumi,173230
BANDJAU,POE_Bango,168952
BANDJAU,POE_Bugarama,130562
BANDJAU,POE_Buhumba,137024
BANDJAU,POE_Bujerere,168371
BANDJAU,POE_Bunagana,140010
BANDJAU,POE_Busengo,148590
BANDJAU,POE_Goli,162256
BANDJAU,POE_Goma,137449
BANDJAU,POE_Ishasha,146051
BANDJAU,POE_Kasindi,154455
BANDJAU,POE_Kijoro,173884
BANDJAU,POE_Kiyonga,172184
BANDJAU,POE_Kyesero,152914
BANDJAU,POE_Lushoze,128882
BANDJAU,POE_Muhungu,130180
BANDJAU,POE_Nabiapai,171104
BANDJAU,POE_Onder,165480
BANDJAU,POE_Parombo,174744
BANDJAU,POE_Vura,170463
BANDUNDU,POE_Adumi,147746
BANDUNDU,POE_Bango,147235
BANDUNDU,POE_Bugarama,100419
BANDUNDU,POE_Buhumba,106882
BANDUNDU,POE_Bujerere,138228
BANDUNDU,POE_Bunagana,109867
BANDUNDU,POE_Busengo,118447
BANDUNDU,POE_Goli,136773
BANDUNDU,POE_Goma,107306
BANDUNDU,POE_Ishasha,115909
BANDUNDU,POE_Kasindi,124312
BANDUNDU,POE_Kijoro,148400
BANDUNDU,POE_Kiyonga,146701
BANDUNDU,POE_Kyesero,122772
BANDUNDU,POE_Lushoze,98740
BANDUNDU,POE_Muhungu,100038
BANDUNDU,POE_Nabiapai,149387
BANDUNDU,POE_Onder,139996
BANDUNDU,POE_Parombo,149261
BANDUNDU,POE_Vura,144980
BANGA LUBAKA,POE_Adumi,132290
BANGA LUBAKA,POE_Bango,131779
BANGA LUBAKA,POE_Bugarama,84963
BANGA LUBAKA,POE_Buhumba,91426
BANGA LUBAKA,POE_Bujerere,122772
BANGA LUBAKA,POE_Bunagana,94411
BANGA LUBAKA,POE_Busengo,102991
BANGA LUBAKA,POE_Goli,121316
BANGA LUBAKA,POE_Goma,91850
BANGA LUBAKA,POE_Ishasha,100453
BANGA LUBAKA,POE_Kasindi,108856
BANGA LUBAKA,POE_Kijoro,132944
BANGA LUBAKA,POE_Kiyonga,131245
BANGA LUBAKA,POE_Kyesero,107316
BANGA LUBAKA,POE_Lushoze,83283
BANGA LUBAKA,POE_Muhungu,84581
BANGA LUBAKA,POE_Nabiapai,133931
BANGA LUBAKA,POE_Onder,124540
BANGA LUBAKA,POE_Parombo,133804
BANGA LUBAKA,POE_Vura,129523
BANGABOLA,POE_Adumi,96210
BANGABOLA,POE_Bango,81551
BANGABOLA,POE_Bugarama,85513
BANGABOLA,POE_Buhumba,89317
BANGABOLA,POE_Bujerere,103864
BANGABOLA,POE_Bunagana,92302
BANGABOLA,POE_Busengo,100882
BANGABOLA,POE_Goli,91211
BANGABOLA,POE_Goma,89741
BANGABOLA,POE_Ishasha,98344
BANGABOLA,POE_Kasindi,89395
BANGABOLA,POE_Kijoro,96864
BANGABOLA,POE_Kiyonga,101140
BANGABOLA,POE_Kyesero,105207
BANGABOLA,POE_Lushoze,83834
BANGABOLA,POE_Muhungu,85132
BANGABOLA,POE_Nabiapai,82950
BANGABOLA,POE_Onder,89362
BANGABOLA,POE_Parombo,103699
BANGABOLA,POE_Vura,93102
BARUMBU,POE_Adumi,153775
BARUMBU,POE_Bango,153264
BARUMBU,POE_Bugarama,106448
BARUMBU,POE_Buhumba,112911
BARUMBU,POE_Bujerere,144257
BARUMBU,POE_Bunagana,115897
BARUMBU,POE_Busengo,124476
BARUMBU,POE_Goli,142802
BARUMBU,POE_Goma,113335
BARUMBU,POE_Ishasha,121938
BARUMBU,POE_Kasindi,130341
BARUMBU,POE_Kijoro,154429
BARUMBU,POE_Kiyonga,152730
BARUMBU,POE_Kyesero,128801
BARUMBU,POE_Lushoze,104769
BARUMBU,POE_Muhungu,106067
BARUMBU,POE_Nabiapai,155417
BARUMBU,POE_Onder,146025
BARUMBU,POE_Parombo,155290
BARUMBU,POE_Vura,151009
BASALI,POE_Adumi,95126
BASALI,POE_Bango,90848
BASALI,POE_Bugarama,75626
BASALI,POE_Buhumba,79430
BASALI,POE_Bujerere,93977
BASALI,POE_Bunagana,82415
BASALI,POE_Busengo,90995
BASALI,POE_Goli,84153
BASALI,POE_Goma,79854
BASALI,POE_Ishasha,88457
BASALI,POE_Kasindi,79508
BASALI,POE_Kijoro,95780
BASALI,POE_Kiyonga,94081
BASALI,POE_Kyesero,95320
BASALI,POE_Lushoze,73947
BASALI,POE_Muhungu,75245
BASALI,POE_Nabiapai,93001
BASALI,POE_Onder,87376
BASALI,POE_Parombo,96641
BASALI,POE_Vura,92360
BASANKUSU,POE_Adumi,109224
BASANKUSU,POE_Bango,101089
BASANKUSU,POE_Bugarama,89723
BASANKUSU,POE_Buhumba,93527
BASANKUSU,POE_Bujerere,108074
BASANKUSU,POE_Bunagana,96512
BASANKUSU,POE_Busengo,105092
BASANKUSU,POE_Goli,98250
BASANKUSU,POE_Goma,93951
BASANKUSU,POE_Ishasha,102554
BASANKUSU,POE_Kasindi,93605
BASANKUSU,POE_Kijoro,109878
BASANKUSU,POE_Kiyonga,108178
BASANKUSU,POE_Kyesero,109417
BASANKUSU,POE_Lushoze,88044
BASANKUSU,POE_Muhungu,89342
BASANKUSU,POE_Nabiapai,102487
BASANKUSU,POE_Onder,101473
BASANKUSU,POE_Parombo,110738
BASANKUSU,POE_Vura,106457
BASOKO,POE_Adumi,82817
BASOKO,POE_Bango,74971
BASOKO,POE_Bugarama,63317
BASOKO,POE_Buhumba,67120
BASOKO,POE_Bujerere,81667
BASOKO,POE_Bunagana,70106
BASOKO,POE_Busengo,78685
BASOKO,POE_Goli,71843
BASOKO,POE_Goma,67544
BASOKO,POE_Ishasha,76147
BASOKO,POE_Kasindi,67198
BASOKO,POE_Kijoro,83471
BASOKO,POE_Kiyonga,81772
BASOKO,POE_Kyesero,83010
BASOKO,POE_Lushoze,61637
BASOKO,POE_Muhungu,62935
BASOKO,POE_Nabiapai,76370
BASOKO,POE_Onder,75067
BASOKO,POE_Parombo,84331
BASOKO,POE_Vura,80050
BEFALE,POE_Adumi,99989
BEFALE,POE_Bango,95711
BEFALE,POE_Bugarama,80489
BEFALE,POE_Buhumba,84293
BEFALE,POE_Bujerere,98840
BEFALE,POE_Bunagana,87278
BEFALE,POE_Busengo,95858
BEFALE,POE_Goli,89016
BEFALE,POE_Goma,84717
BEFALE,POE_Ishasha,93320
BEFALE,POE_Kasindi,84371
BEFALE,POE_Kijoro,100643
BEFALE,POE_Kiyonga,98944
BEFALE,POE_Kyesero,100183
BEFALE,POE_Lushoze,78810
BEFALE,POE_Muhungu,80108
BEFALE,POE_Nabiapai,97864
BEFALE,POE_Onder,92239
BEFALE,POE_Parombo,101504
BEFALE,POE_Vura,97223
BENA-DIBELE,POE_Adumi,98689
BENA-DIBELE,POE_Bango,94411
BENA-DIBELE,POE_Bugarama,74783
BENA-DIBELE,POE_Buhumba,81246
BENA-DIBELE,POE_Bujerere,97539
BENA-DIBELE,POE_Bunagana,84231
BENA-DIBELE,POE_Busengo,92811
BENA-DIBELE,POE_Goli,87715
BENA-DIBELE,POE_Goma,81670
BENA-DIBELE,POE_Ishasha,90273
BENA-DIBELE,POE_Kasindi,83070
BENA-DIBELE,POE_Kijoro,99343
BENA-DIBELE,POE_Kiyonga,97644
BENA-DIBELE,POE_Kyesero,97136
BENA-DIBELE,POE_Lushoze,73104
BENA-DIBELE,POE_Muhungu,74402
BENA-DIBELE,POE_Nabiapai,96563
BENA-DIBELE,POE_Onder,90939
BENA-DIBELE,POE_Parombo,100203
BENA-DIBELE,POE_Vura,95922
BENA-LEKA,POE_Adumi,118367
BENA-LEKA,POE_Bango,114340
BENA-LEKA,POE_Bugarama,71039
BENA-LEKA,POE_Buhumba,77502
BENA-LEKA,POE_Bujerere,108849
BENA-LEKA,POE_Bunagana,80488
BENA-LEKA,POE_Busengo,89068
BENA-LEKA,POE_Goli,107393
BENA-LEKA,POE_Goma,77927
BENA-LEKA,POE_Ishasha,86529
BENA-LEKA,POE_Kasindi,94933
BENA-LEKA,POE_Kijoro,119021
BENA-LEKA,POE_Kiyonga,117321
BENA-LEKA,POE_Kyesero,93392
BENA-LEKA,POE_Lushoze,69360
BENA-LEKA,POE_Muhungu,70658
BENA-LEKA,POE_Nabiapai,116493
BENA-LEKA,POE_Onder,110616
BENA-LEKA,POE_Parombo,119881
BENA-LEKA,POE_Vura,115600
BENA-TSHIADI,POE_Adumi,99368
BENA-TSHIADI,POE_Bango,95090
BENA-TSHIADI,POE_Bugarama,63955
BENA-TSHIADI,POE_Buhumba,70418
BENA-TSHIADI,POE_Bujerere,98219
BENA-TSHIADI,POE_Bunagana,73403
BENA-TSHIADI,POE_Busengo,81983
BENA-TSHIADI,POE_Goli,88394
BENA-TSHIADI,POE_Goma,70842
BENA-TSHIADI,POE_Ishasha,79445
BENA-TSHIADI,POE_Kasindi,83749
BENA-TSHIADI,POE_Kijoro,100022
BENA-TSHIADI,POE_Kiyonga,98323
BENA-TSHIADI,POE_Kyesero,86308
BENA-TSHIADI,POE_Lushoze,62276
BENA-TSHIADI,POE_Muhungu,63573
BENA-TSHIADI,POE_Nabiapai,97242
BENA-TSHIADI,POE_Onder,91618
BENA-TSHIADI,POE_Parombo,100883
BENA-TSHIADI,POE_Vura,96602
BENGAMISA,POE_Adumi,53667
BENGAMISA,POE_Bango,49389
BENGAMISA,POE_Bugarama,34167
BENGAMISA,POE_Buhumba,37971
BENGAMISA,POE_Bujerere,52518
BENGAMISA,POE_Bunagana,40956
BENGAMISA,POE_Busengo,49536
BENGAMISA,POE_Goli,42694
BENGAMISA,POE_Goma,38395
BENGAMISA,POE_Ishasha,46998
BENGAMISA,POE_Kasindi,38049
BENGAMISA,POE_Kijoro,54321
BENGAMISA,POE_Kiyonga,52622
BENGAMISA,POE_Kyesero,53861
BENGAMISA,POE_Lushoze,32488
BENGAMISA,POE_Muhungu,33786
BENGAMISA,POE_Nabiapai,51542
BENGAMISA,POE_Onder,45917
BENGAMISA,POE_Parombo,55182
BENGAMISA,POE_Vura,50901
BENI,POE_Adumi,27088
BENI,POE_Bango,28988
BENI,POE_Bugarama,25087
BENI,POE_Buhumba,13896
BENI,POE_Bujerere,18123
BENI,POE_Bunagana,13146
BENI,POE_Busengo,21098
BENI,POE_Goli,16114
BENI,POE_Goma,17061
BENI,POE_Ishasha,14877
BENI,POE_Kasindi,3535
BENI,POE_Kijoro,27742
BENI,POE_Kiyonga,26042
BENI,POE_Kyesero,21740
BENI,POE_Lushoze,23408
BENI,POE_Muhungu,24706
BENI,POE_Nabiapai,42823
BENI,POE_Onder,19338
BENI,POE_Parombo,28602
BENI,POE_Vura,24321
BIBANGA,POE_Adumi,98683
BIBANGA,POE_Bango,100583
BIBANGA,POE_Bugarama,51356
BIBANGA,POE_Buhumba,57818
BIBANGA,POE_Bujerere,89165
BIBANGA,POE_Bunagana,60804
BIBANGA,POE_Busengo,69384
BIBANGA,POE_Goli,87709
BIBANGA,POE_Goma,58243
BIBANGA,POE_Ishasha,66845
BIBANGA,POE_Kasindi,75249
BIBANGA,POE_Kijoro,99337
BIBANGA,POE_Kiyonga,97637
BIBANGA,POE_Kyesero,73708
BIBANGA,POE_Lushoze,49676
BIBANGA,POE_Muhungu,50974
BIBANGA,POE_Nabiapai,113941
BIBANGA,POE_Onder,90933
BIBANGA,POE_Parombo,100197
BIBANGA,POE_Vura,95916
BIENA,POE_Adumi,33601
BIENA,POE_Bango,35501
BIENA,POE_Bugarama,27195
BIENA,POE_Buhumba,16004
BIENA,POE_Bujerere,24637
BIENA,POE_Bunagana,15255
BIENA,POE_Busengo,23207
BIENA,POE_Goli,22628
BIENA,POE_Goma,19169
BIENA,POE_Ishasha,16985
BIENA,POE_Kasindi,10167
BIENA,POE_Kijoro,34255
BIENA,POE_Kiyonga,32556
BIENA,POE_Kyesero,23848
BIENA,POE_Lushoze,25516
BIENA,POE_Muhungu,26814
BIENA,POE_Nabiapai,49336
BIENA,POE_Onder,25851
BIENA,POE_Parombo,35116
BIENA,POE_Vura,30835
BIKORO,POE_Adumi,109710
BIKORO,POE_Bango,105432
BIKORO,POE_Bugarama,90210
BIKORO,POE_Buhumba,94013
BIKORO,POE_Bujerere,108560
BIKORO,POE_Bunagana,96999
BIKORO,POE_Busengo,105578
BIKORO,POE_Goli,98736
